Row ID,Order ID,Order Date,Ship  Date,Ship Mode ,Customer ID,Customer Name,segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category ,Product Name,Sales,Quantity,Discount,Profit
7906,US-2015-118766,15-10-15,22-10-15,STANDARD CLASS,LS-16975,Lindsay Shagiari,Home Office,United States,Dallas,Texas,75217,  Central  ,OFF-EN-10001415,Office Supplies,ENVELOPES,Staple envelope,4.464,1,0.2,1.674
8924,CA-2017-133928,11-Jun-17,17-06-17,standard class,ZC-21910,Zuschuss Carroll,Consumer,united states,Hickory,North Carolina,28601,South,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",4.572,4,0.7,-3.81
3916,US-2017-142573,18-07-17,23-07-17,STANDARD CLASS,ML-17410,Maris LaWare,Consumer,United States,Phoenix,Arizona,85023,WEST,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",161.568,2,0.2,10.098
4455,CA-2016-147137,07-04-16,06-07-16,FIRST CLASS,AA-10645,Anna Andreadi,Consumer,  United States  ,San Francisco,California,94109,West,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,27.92,4,0,0.5584
7539,US-2017-112347,02-12-17,12-06-17,Standard Class,BS-11380,Bill Stewart,Corporate,UNITED STATES,Denver,Colorado,80219,West,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,114.288,1,0.2,12.8574
9953,CA-2015-141593,12-14-15,16-12-15,  Second Class  ,DB-12970,Darren Budd,Corporate,United States,Los Angeles,California,90045,West,OFF-BI-10001153,Office Supplies,  Binders  ,Ibico Recycled Grain-Textured Covers,55.264,2,0.2,20.724
6299,CA-2014-169852,10-21-14,26-10-14,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,San Diego,California,92024,west,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,36.36,3,0.2,12.2715
5680,CA-2016-143924,28-07-16,03-08-16,Standard Class,SC-20680,Steve Carroll,Home Office,united states,Holland,Michigan,49423,Central,OFF-PA-10002120,OFFICE SUPPLIES,PAPER,Xerox 1889,$109.92 ,2,0,53.8608
8236,CA-2017-102204,05-01-17,06-May-17,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Jacksonville,Florida,32216,South,FUR-TA-10001889,FURNITURE,Tables,Bush Advantage Collection Racetrack Conference Table,933.262,4,0.45,-458.1468
5353,CA-2016-123932,06-Sep-16,09-12-16,Standard Class,YC-21895,Yoseph Carroll,Corporate,UNITED STATES,Dallas,Texas,75217,central,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,329.584,2,0.2,37.0782
1815,CA-2015-131597,14-09-15,18-09-15,STANDARD CLASS,SP-20620,Stefania Perrino,Corporate,United States,Los Angeles,California,90045,  n/a  ,FUR-TA-10002607,FURNITURE,Tables,KI Conference Tables,170.136,3,0.2,-8.5068
17,CA-2014-105893,11-11-14,11-18-14,Standard Class,PK-19075,Pete Kriz,CONSUMER,united states,Madison,Wisconsin,53711,n/a,OFF-ST-10004186,OFFICE SUPPLIES,storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
1120,CA-2015-142755,09-04-15,08-09-15,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,Roswell,Georgia,30076,South,OFF-PA-10000141,Office Supplies,paper,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",4.36,2,0,2.0492
435,US-2014-150574,19-12-14,12-25-14,Standard Class,MK-18160,Mike Kennedy,consumer,United States,Jacksonville,Florida,32216,SOUTH,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,4.812,2,0.7,-3.6892
6703,CA-2015-153535,20-05-15,05-24-15,Standard Class,SG-20470,Sheri Gordon,  Consumer  ,UNITED STATES,,North Carolina,27893,south,OFF-BI-10001031,OFFICE SUPPLIES,Binders,Pressboard Data Binders by Wilson Jones,6.408,4,0.7,-4.9128
5278,CA-2014-113859,09-13-14,09-17-14,standard class,BC-11125,Becky Castell,Home Office,United States,Odessa,Texas,79762,central,FUR-CH-10004698,furniture,CHAIRS,"Padded Folding Chairs, Black, 4/Carton",340.116,6,0.3,-9.7176
8413,CA-2017-132290,03-10-17,14-Mar-17,STANDARD CLASS,MD-17350,Maribeth Dona,Consumer,United States,Dallas,Texas,75217,Central,FUR-TA-10002228,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",933.408,4,0.3,-173.3472
2366,US-2016-108637,03/13/2016,03/18/2016,STANDARD CLASS,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,22980,South,OFF-BI-10004965,office supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46,4,0,20.7
9721,CA-2016-119641,22-09-16,26-09-16,Standard Class,CS-12250,Chris Selesnick,Corporate,UNITED STATES,Green Bay,Wisconsin,54302,  Central  ,FUR-FU-10002445,FURNITURE,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",18.96,2,0,7.584
7678,CA-2014-133592,31-12-14,07-01-15,Standard Class,KM-16375,Katherine Murray,Home Office,united states,Providence,Rhode Island,2908,East,OFF-PA-10003228,Office Supplies,Paper,Xerox 1917,195.64,4,0,91.9508
1460,CA-2014-155271,05-04-14,04-05-14,  Same Day  ,AA-10480,Andrew Allen,consumer,United States,Middletown,Connecticut,6457,East,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame,27.46,2,0,9.8856
9001,CA-2014-133389,06-22-14,06/22/2014,SAME DAY,TB-21280,Toby Braunhardt,  Consumer  ,United States,Phoenix,Arizona,85023,west,OFF-BI-10001553,Office Supplies,  Binders  ,SpineVue Locking Slant-D Ring Binders by Cardinal,8.226,3,0.7,-6.0324
973,CA-2014-115791,16-01-14,01/18/2014,  Second Class  ,DL-13315,Delfina Latchford,consumer,USA,Philadelphia,Pennsylvania,19134,  East  ,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,$18.59 ,2,0.7,-13.6312
1550,CA-2014-134278,06-07-14,08-Jul-14,FIRST CLASS,EP-13915,Emily Phan,Consumer,United States,New York City,New York,10011,EAST,TEC-CO-10001046,TECHNOLOGY,Copiers,Canon Imageclass D680 Copier / Fax,559.992,1,0.2,174.9975
5040,CA-2015-136469,11-07-15,12-07-15,first class,TS-21370,Todd Sumrall,Corporate,United States,Wilmington,Delaware,19805,East,TEC-PH-10001817,Technology,phones,Wilson Electronics DB Pro Signal Booster,716,2,0,193.32
4478,CA-2017-130211,10-22-17,22-Oct-17,Same Day,BD-11620,Brian DeCherney,Consumer,united states,,Oklahoma,73505,Central,OFF-ST-10000129,OFFICE SUPPLIES,Storage,Fellowes Recycled Storage Drawers,333.09,3,0,23.3163
4629,CA-2016-101336,13-11-16,18-11-16,STANDARD CLASS,CK-12760,Cyma Kinney,corporate,United States,New York City,New York,10011,East,OFF-AR-10003582,office supplies,Art,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",140.75,5,0,39.41
8458,US-2017-118556,28-May-17,06-02-17,Second Class,TH-21235,Tiffany House,corporate,united states,Chicago,Illinois,60653,Centeral,OFF-BI-10004364,Office Supplies,binders,Storex Dura Pro Binders,3.564,3,0.8,-6.237
4268,US-2016-131611,05-Nov-16,09-11-16,Standard Class,EP-13915,Emily Phan,consumer,United States,Houston,Texas,77036,Central,OFF-BI-10001989,OFFICE SUPPLIES,Binders,Premium Transparent Presentation Covers by GBC,12.588,3,0.8,-20.1408
196,CA-2014-140004,21-03-14,25-03-14,Standard Class,CB-12025,Cassandra Brandow,Consumer,united states,Hamilton,Ohio,45011,East,OFF-AR-10004685,OFFICE SUPPLIES,art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038
5634,CA-2016-101742,23-Sep-16,09-28-16,Second Class,CR-12580,Clay Rozendal,Home Office,  United States  ,New York City,New York,10009,East,OFF-BI-10004187,  Office Supplies  ,Binders,3-ring staple pack,10.528,7,0.2,3.6848
464,CA-2016-109869,22-04-16,04/29/2016,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,West,FUR-TA-10001889,  Furniture  ,TABLES,Bush Advantage Collection Racetrack Conference Table,1272.63,6,0.5,-814.4832
6505,CA-2017-128265,17-11-17,22-11-17,SECOND CLASS,VW-21775,Victoria Wilson,Corporate,United States,New York City,New York,10011,East,OFF-ST-10000142,Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,1247.64,3,0,349.3392
8872,CA-2017-101805,01-12-17,06-12-17,standard class,SH-19975,Sally Hughsby,Corporate,United States,Seattle,Washington,98105,  West  ,OFF-ST-10002756,Office Supplies,STORAGE,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",541.24,4,0,5.4124
3079,CA-2014-104780,21-05-14,05-25-14,  Standard Class  ,BT-11530,Bradley Talbott,  Home Office  ,United States,San Diego,California,92037,west,OFF-AR-10003514,  Office Supplies  ,Art,4009 Highlighters by Sanford,31.84,8,0,10.5072
4815,CA-2016-111696,08-May-16,05-10-16,First Class,TB-21625,Trudy Brown,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10002751,OFFICE SUPPLIES,Paper,Xerox 1920,17.94,3,0,8.073
8625,CA-2015-136147,11-13-15,18-11-15,standard class,FM-14380,,CONSUMER,UNITED STATES,Miami,Florida,33178,South,TEC-AC-10004568,Technology,accessories,Maxell LTO Ultrium - 800 GB,111.96,5,0.2,-1.3995
3146,CA-2017-131828,11-Feb-17,13-02-17,Second Class,CS-11845,Cari Sayre,Corporate,United States,Seattle,Washington,98105,West,FUR-CH-10004495,Furniture,chairs,"Global Leather and Oak Executive Chair, Black",963.136,4,0.2,108.3528
7954,CA-2014-138359,04-01-14,06-04-14,  Standard Class  ,KH-16330,Katharine Harms,  Corporate  ,united states,Revere,Massachusetts,2151,East,OFF-ST-10000636,  Office Supplies  ,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,4,0,2.6784
3985,CA-2016-135265,07-07-16,09-07-16,second class,CC-12370,Christopher Conant,Consumer,  United States  ,Los Angeles,California,90045,WEST,OFF-PA-10002923,Office Supplies,Paper,Xerox 1942,48.94,1,0,24.47
6732,CA-2015-156734,18-06-15,06-20-15,First Class,BV-11245,Benjamin Venier,  Corporate  ,UNITED STATES,Smyrna,Tennessee,37167,South,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,20.736,4,0.2,7.2576
4972,US-2016-153815,06-Nov-16,09-Nov-16,First Class,KL-16555,Kelly Lampkin,Corporate,United States,Jacksonville,Florida,32216,  South  ,OFF-PA-10002421,Office Supplies,PAPER,Embossed Ink Jet Note Cards,36.112,2,0.2,12.6392
3779,US-2017-148768,30-Nov-17,02-12-17,Second Class,PN-18775,Parhena Norris,HOME OFFICE,UNITED STATES,Miami,Florida,33180,South,TEC-PH-10002564,  Technology  ,phones,OtterBox Defender Series Case - Samsung Galaxy S4,71.976,3,0.2,8.997
6709,CA-2015-123141,14-11-15,11-19-15,standard class,GZ-14470,Gary Zandusky,Consumer,United States,Rio Rancho,New Mexico,87124,Wast,FUR-CH-10004287,Furniture,chairs,SAFCO Arco Folding Chair,$883.84 ,4,0.2,99.432
9136,CA-2016-124254,12-Apr-16,04/17/2016,Standard Class,TB-21175,Thomas Boland,corporate,united states,Wilson,North Carolina,27893,  South  ,OFF-ST-10000060,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,51.984,1,0.2,-5.1984
5644,CA-2015-166604,15-05-15,05-20-15,second class,AH-10690,Anna Häberlin,Corporate,united states,Roswell,Georgia,30076,south,OFF-EN-10004147,office supplies,Envelopes,Wausau Papers Astrobrights Colored Envelopes,17.94,3,0,8.7906
47,CA-2014-146703,10-20-14,10-25-14,Second Class,PO-18865,Patrick O'Donnell,CONSUMER,United States,Westland,Michigan,48185,  Central  ,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
5194,CA-2014-101560,11/28/2014,12-01-14,second class,CS-12250,Chris Selesnick,Corporate,United States,Columbia,South Carolina,29203,South,OFF-PA-10001363,OFFICE SUPPLIES,PAPER,Xerox 1933,85.96,7,0,40.4012
605,CA-2014-149958,15-Mar-14,03/19/2014,Standard Class,AS-10240,Alan Shonely,Consumer,united states,Tampa,Florida,33614,south,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,7.218,3,0.7,-5.5338
8159,CA-2017-136238,12-26-17,01-01-18,standard class,KB-16240,Karen Bern,Corporate,UNITED STATES,Odessa,Texas,79762,  Central  ,OFF-PA-10004285,Office Supplies,PAPER,Xerox 1959,16.032,3,0.2,5.6112
6181,CA-2015-158421,21-09-15,09/26/2015,Standard Class,GB-14575,Giulietta Baptist,Consumer,united states,Columbia,South Carolina,29203,south,TEC-PH-10000369,technology,Phones,HTC One Mini,629.95,5,0,176.386
5707,CA-2017-136000,22-Sep-17,25-09-17,second class,SC-20440,Shaun Chance,Corporate,United States,New York City,New York,10009,East,OFF-BI-10004828,Office Supplies,binders,GBC Poly Designer Binding Covers,$40.18 ,3,0.2,14.5638
8030,CA-2016-166373,21-10-16,25-Oct-16,Standard Class,JF-15565,Jill Fjeld,Consumer,United States,San Antonio,Texas,78207,central,TEC-AC-10002323,Technology,  Accessories  ,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,106.08,6,0.2,-9.282
2626,CA-2017-127180,22-10-17,24-10-17,First Class,TA-21385,Tom Ashbrook,Home Office,UNITED STATES,New York City,New York,10024,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,63.9,5,0,28.755
4922,CA-2017-114055,25-12-17,12-29-17,Second Class,MH-18115,Mick Hernandez,  Home Office  ,  United States  ,Huntsville,Alabama,35810,south,OFF-PA-10004381,Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,96.08,2,0,46.1184
7735,CA-2017-134418,09-15-17,20-09-17,standard class,GM-14500,Gene McClure,consumer,United States,Seattle,Washington,98103,west,OFF-AR-10004441,  Office Supplies  ,Art,BIC Brite Liner Highlighters,12.42,3,0,5.2164
1417,CA-2015-126697,09-21-15,09/24/2015,First Class,SV-20815,Stuart Van,  Corporate  ,UNITED STATES,Houston,Texas,77041,Central,TEC-PH-10002922,Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,946.344,7,0.2,118.293
4390,CA-2017-111556,11-20-17,22-11-17,First Class,CD-11920,Carlos Daly,Consumer,UNITED STATES,New York City,New York,10035,east,FUR-BO-10003159,  Furniture  ,  Bookcases  ,"Sauder Camden County Collection Libraries, Planked Cherry Finish",183.968,2,0.2,-25.2956
3449,CA-2016-162614,07-Oct-16,10/13/2016,Standard Class,TB-21250,Tim Brockman,Consumer,UNITED STATES,Los Angeles,California,90049,west,OFF-BI-10004001,  Office Supplies  ,Binders,GBC Recycled VeloBinder Covers,$27.26 ,2,0.2,8.8608
8245,CA-2014-109897,08-12-14,16-Aug-14,STANDARD CLASS,BW-11200,Ben Wallace,Consumer,united states,San Francisco,California,94122,west,FUR-FU-10002878,Furniture,FURNISHINGS,"Seth Thomas 14"" Day/Date Wall Clock",85.44,3,0,31.6128
8644,CA-2015-108259,08-Nov-15,15-11-15,Standard Class,NS-18640,Noel Staavos,Corporate,united states,Jacksonville,North Carolina,28540,South,OFF-LA-10002945,Office Supplies,Labels,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",$5.04 ,1,0.2,1.638
9672,US-2017-140312,11-13-17,11-19-17,Standard Class,KL-16645,Ken Lonsdale,  Consumer  ,united states,Dublin,California,94568,West,TEC-PH-10003442,TECHNOLOGY,PHONES,Samsung Replacement EH64AVFWE Premium Headset,22,5,0.2,1.375
8178,CA-2017-149699,22-Dec-17,24-Dec-17,First Class,CM-12115,Chad McGuire,Consumer,UNITED STATES,Los Angeles,California,90008,WEST,TEC-AC-10000474,Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac,474.95,5,0,142.485
4202,CA-2015-143105,10-12-15,10-12-15,Same Day,MA-17560,Matt Abelman,Home Office,United States,New York City,New York,10024,Eest,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",41.28,6,0,18.9888
1221,CA-2014-110184,12-07-14,16-Jul-14,Standard Class,BF-11170,Ben Ferrer,home office,United States,Los Angeles,California,90036,West,OFF-ST-10000107,  Office Supplies  ,Storage,Fellowes Super Stor/Drawer,249.75,9,0,44.955
5323,US-2017-162558,10-02-17,10-05-17,First Class,Dp-13240,Dean percer,HOME OFFICE,United States,Knoxville,Tennessee,37918,SOUTH,FUR-FU-10003691,FURNITURE,Furnishings,"Eldon Image Series Desk Accessories, Ebony",19.76,2,0.2,5.928
201,CA-2017-105074,06/24/2017,29-06-17,Standard Class,MB-17305,Maria Bertelson,  Consumer  ,United States,Akron,Ohio,44312,East,OFF-PA-10002666,Office Supplies,paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795
5000,CA-2016-129238,01/31/2016,04-02-16,STANDARD CLASS,SC-20050,Sample Company A,Home Office,UNITED STATES,Los Angeles,California,90045,West,OFF-PA-10002764,Office Supplies,Paper,Easy-staple paper,56.7,5,,27.783
447,CA-2017-154214,03-20-17,25-Mar-17,second class,TB-21595,Troy Blackwell,Consumer,United States,Columbus,Indiana,47201,central,FUR-FU-10000206,  Furniture  ,  Furnishings  ,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91,1,0,1.3677
9146,CA-2015-126970,09-20-15,24-09-15,Standard  Class,TP-21130,Theone Pippenger,  Consumer  ,United States,Naperville,Illinois,60540,Central,OFF-BI-10000138,Office Supplies,BINDERS,Acco Translucent Poly Ring Binders,2.808,3,0.8,-4.4928
9840,US-2016-125402,25-09-16,10-01-16,Standard Class,DL-12865,Dan Lawera,Consumer,UNITED STATES,Long Beach,California,90805,West,TEC-CO-10001943,technology,COPIERS,Canon PC-428 Personal Copier,479.976,3,0.2,161.9919
9258,CA-2014-168368,02-11-14,15-Feb-14,SECOND CLASS,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-FU-10002298,Furniture,FURNISHINGS,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,0,53.2704
2871,CA-2014-148040,03/22/2014,03-26-14,Standard Class,BF-11275,Beth Fritzler,Corporate,United States,Tucson,Arizona,85705,West,OFF-PA-10002581,Office Supplies,Paper,Xerox 1951,74.352,3,0.2,23.235
2559,CA-2015-147788,31-05-15,04-06-15,standard class,TM-21010,Tamara Manning,Consumer,united states,Orem,Utah,84057,WEST,FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86,7,0,140.686
5619,CA-2015-101154,18-09-15,21-09-15,first class,CM-12190,Charlotte Melton,  Consumer  ,  United States  ,San Diego,California,92105,West,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",443.92,4,0,8.8784
3607,CA-2016-119683,12-Mar-16,16-03-16,Second Class,CK-12595,Clytie Kelty,consumer,United States,New York City,New York,10024,East,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,29.34,3,0,13.4964
6306,CA-2016-163328,04-11-16,06-11-16,second class,TP-21565,Tracy Poddar,Corporate,United States,Eugene,Oregon,97405,West,OFF-SU-10002301,Office Supplies,Supplies,Serrated Blade or Curved Handle Hand Letter Openers,17.584,7,0.2,-4.1762
6864,CA-2017-138618,12-01-17,12-08-17,Standard Class,MY-17380,Maribeth Yedwab,Corporate,  United States  ,San Antonio,Texas,78207,central,OFF-PA-10000520,  Office Supplies  ,Paper,Xerox 201,10.368,2,0.2,3.6288
1909,CA-2015-157959,02-03-15,04-02-15,First Class,RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90008,WEST,FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,136.92,4,0,41.076
3157,CA-2015-139584,24-Aug-15,28-08-15,Standard Class,EM-13810,Eleni McCrary,Corporate,United States,New York City,New York,10009,East,FUR-TA-10001539,Furnitur,TABLES,Chromcraft Rectangular Conference Tables,$284.36 ,2,0.4,-75.8304
876,CA-2016-116736,17-Jan-16,21-01-16,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,3301,east,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,0,64.518
8138,CA-2014-103219,09-11-14,13-11-14,Standard Class,BF-11215,Benjamin Farhat,Home Office,  United States  ,New York City,New York,10035,East,FUR-FU-10004091,  Furniture  ,Furnishings,"Eldon 200 Class Desk Accessories, Black",$56.52 ,9,0,21.4776
9407,CA-2014-152618,14-03-14,17-03-14,first class,RB-19465,Rick Bensley,Home Office,united states,Chicago,Illinois,60653,Central,OFF-PA-10001215,OFFICE SUPPLIES,Paper,Xerox 1963,8.448,2,0.2,2.64
2630,US-2017-165344,11-13-17,11-15-17,First Class,SB-20290,Sean Braxton,Corporate,  United States  ,Springfield,Ohio,45503,East,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,11.22,10,0.7,-7.48
4802,US-2016-148901,14-05-16,05-19-16,Standard Class,MK-17905,Michael Kennedy,CORPORATE,United States,Jacksonville,Florida,32216,South,OFF-BI-10004002,Office Supplies,BINDERS,Wilson Jones International Size A4 Ring Binders,10.38,-2,0.7,-7.612
,,,,,,,,,,,,,,,,,,,,
8883,US-2017-115252,10/20/2017,10/25/2017,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Durham,North Carolina,27707,South,TEC-PH-10004071,  Technology  ,phones,PayAnywhere Card Reader,15.984,2,0.2,1.3986
932,CA-2017-144932,14-04-17,17-Apr-17,FIRST CLASS,AB-10165,Alan Barnes,consumer,united states,Toledo,Ohio,43615,East,OFF-PA-10004971,OFFICE SUPPLIES,  Paper  ,Xerox 196,13.872,3,0.2,5.0286
950,US-2017-110576,28-Nov-17,02-Dec-17,Standard Class,RB-19795,Ross Baird,Home Office,united states,Philadelphia,Pennsylvania,19120,East,FUR-TA-10004154,Furniture,tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32,12,0.4,-619.596
9338,CA-2014-155264,19-10-14,10-22-14,Second Class,RP-19270,Rachel Payne,Corporate,United States,San Francisco,California,94110,west,OFF-BI-10003196,OFFICE SUPPLIES,binders,Accohide Poly Flexible Ring Binders,2.992,1,0.2,1.122
278,CA-2017-132976,13-10-17,17-Oct-17,standard class,AG-10495,Andrew Gjertsen,Corporate,UNITED STATES,Philadelphia,Pennsylvania,19140,east,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",$18.18 ,4,0.2,5.9072
1268,US-2014-167738,12/24/2014,29-12-14,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Los Angeles,California,90045,N/A,FUR-CH-10001146,Furniture,chairs,"Global Value Mid-Back Manager's Chair, Gray",292.272,6,0.2,18.267
9947,CA-2014-111157,03-02-14,03-06-14,Standard Class,NH-18610,Nicole Hansen,CORPORATE,United States,Philadelphia,Pennsylvania,19120,East,TEC-AC-10004353,TECHNOLOGY,Accessories,Hypercom P1300 Pinpad,151.2,3,0.2,32.13
6239,CA-2015-134075,12-12-15,16-12-15,standard class,HA-14905,Helen Abelman,Consumer,United States,San Jose,California,95123,West,FUR-FU-10004597,Furniture,furnishings,Eldon Cleatmat Chair Mats for Medium Pile Carpets,166.5,3,0,21.645
3756,CA-2016-116799,03-Mar-16,06-03-16,First Class,JG-15310,Jason Gross,Corporate,UNITED STATES,Odessa,Texas,79762,Central,OFF-PA-10001892,Office Supplies,paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",42.784,7,0.2,15.5092
6062,CA-2015-134201,04-10-15,16-04-15,standard class,EH-14125,Eugene Hildebrand,  Home Office  ,  United States  ,Rochester,New York,14609,EAST,OFF-AR-10002804,Office Supplies,ART,Faber Castell Col-Erase Pencils,$14.67 ,3,0,6.0147
581,CA-2015-132906,10-09-15,09/14/2015,standard class,CC-12145,Charles Crestani,consumer,United States,Los Angeles,California,90004,West,OFF-SU-10004498,  Office Supplies  ,supplies,Martin-Yale Premier Letter Opener,51.52,4,0,1.5456
9210,CA-2017-142776,11-12-17,14-Dec-17,  Second Class  ,RS-19870,Roy Skaria,HOME OFFICE,united states,Burlington,Iowa,52601,Central,OFF-EN-10003160,Office Supplies,Envelopes,Pastel Pink Envelopes,7.28,1,0,3.4944
